protocol,dataset,strict,variant,seed,mse,mae,n,apn_seed_mse,relative_mse_gain_vs_apn
strict_p12,P12,true,Full,2026,0.29190760908227825,0.35460118657176737,23912,0.2937351275766461,0.0062216545547177935
strict_p12,P12,true,Full,2027,0.29016483775033153,0.35338574394204975,23912,0.292523045696777,0.008061614225396604
strict_p12,P12,true,Full,2028,0.29013401313672105,0.35355594672881563,23912,0.2928513453640873,0.009278879098157913
strict_p12,P12,true,V01,2024,0.2933531134445715,0.35714285795469647,23912,0.29312168596259086,-0.0007895269884950234
strict_p12,P12,true,V01,2025,0.293300812107145,0.356769270381483,23912,0.2932033290976912,-0.00033247579334715006
strict_p12,P12,true,V01,2026,0.29398521233865466,0.3572307110691659,23912,0.2937351275766461,-0.000851395487055919
strict_p12,P12,true,V01,2027,0.2927241032418536,0.35604607491462914,23912,0.292523045696777,-0.0006873220692670187
strict_p12,P12,true,V01,2028,0.2928139600943874,0.35626457255939664,23912,0.2928513453640873,0.00012765954567630624
strict_p12,P12,true,V02,2024,0.2930898883178212,0.3565267255339905,23912,0.29312168596259086,0.00010847933227888258
strict_p12,P12,true,V02,2025,0.29303838979867114,0.3561317104579194,23912,0.2932033290976912,0.0005625423815195022
strict_p12,P12,true,V02,2026,0.29376826123729005,0.35678566160689235,23912,0.2937351275766461,-0.00011280115155890298
strict_p12,P12,true,V02,2027,0.2925653777462425,0.3557663380753997,23912,0.292523045696777,-0.00014471355364391195
strict_p12,P12,true,V02,2028,0.2926577148653142,0.3559855067146101,23912,0.2928513453640873,0.000661190402018975
strict_p12,P12,true,V03,2024,0.2931407400080961,0.356934834590839,23912,0.29312168596259086,-0.00006500387524265532
strict_p12,P12,true,V03,2025,0.29319626822599687,0.3573464886139979,23912,0.2932033290976912,0.000024081826478779246
strict_p12,P12,true,V03,2026,0.2937369911947114,0.3575009863008986,23912,0.2937351275766461,-0.0000063445529334100635
strict_p12,P12,true,V03,2027,0.29253813944070955,0.35640876013344786,23912,0.292523045696777,-0.000051598477981779593
strict_p12,P12,true,V03,2028,0.29266550447492545,0.35616499120209844,23912,0.2928513453640873,0.0006345912084877102
strict_p12,P12,true,V07,2024,0.291013089217053,0.3547570371172617,23912,0.29312168596259086,0.0071935883509041286
strict_p12,P12,true,V07,2025,0.2902579110021273,0.3542467338363846,23912,0.2932033290976912,0.01004565024765647
strict_p12,P12,true,V07,2026,0.29191941846370906,0.355026038337576,23912,0.2937351275766461,0.006181450369647271
strict_p12,P12,true,V07,2027,0.2902206319240538,0.3538401649162877,23912,0.292523045696777,0.007870879941233259
strict_p12,P12,true,V07,2028,0.29017653094497736,0.3539775470085812,23912,0.2928513453640873,0.009133693464117356
strict_p12,P12,true,V08,2024,0.2898342975383689,0.3549435770233294,23912,0.29312168596259086,0.011215097966656363
strict_p12,P12,true,V08,2025,0.290163120511181,0.35412669880277314,23912,0.2932033290976912,0.010368942930717077
strict_p12,P12,true,V08,2026,0.29180939400551087,0.35487111747791283,23912,0.2937351275766461,0.006556020681022367
strict_p12,P12,true,V08,2027,0.28884821466016186,0.35399585090277247,23912,0.292523045696777,0.01256253512560646
strict_p12,P12,true,V08,2028,0.29036454623451774,0.3544023186216949,23912,0.2928513453640873,0.008491677326863052
strict_p12,P12,true,V10,2024,0.2909401437459669,0.35439423276091403,23912,0.29312168596259086,0.007442445650037619
strict_p12,P12,true,V10,2025,0.2902047220313856,0.3539032735666495,23912,0.2932033290976912,0.010227056682929139
strict_p12,P12,true,V10,2026,0.29188751618506176,0.35466738256267616,23912,0.2937351275766461,0.006290059370247567
strict_p12,P12,true,V10,2027,0.29014427682344446,0.3534604252983217,23912,0.292523045696777,0.008131902454613194
strict_p12,P12,true,V10,2028,0.28913787431970905,0.35417069695923525,23912,0.2928513453640873,0.012680396054733763
strict_p12,P12,true,V11,2024,0.2928493490852685,0.35562992576270136,23912,0.29312168596259086,0.000929091535578579
strict_p12,P12,true,V11,2025,0.29201101107874333,0.3551522953322605,23912,0.2932033290976912,0.004066522786822128
strict_p12,P12,true,V11,2026,0.29375800302618427,0.3558337405076418,23912,0.2937351275766461,-0.00007787781368502886
strict_p12,P12,true,V11,2027,0.2920699358877725,0.35473257509210654,23912,0.292523045696777,0.0015489713226703012
strict_p12,P12,true,V11,2028,0.29207956131180446,0.35488916509200713,23912,0.2928513453640873,0.002635412349987063
strict_p12,P12,true,V12,2024,0.2933876320423505,0.35717237050757644,23912,0.29312168596259086,-0.0009072889946245776
strict_p12,P12,true,V12,2025,0.293283107919167,0.35675885163183296,23912,0.2932033290976912,-0.00027209384600549824
strict_p12,P12,true,V12,2026,0.2940171928766286,0.357236832909862,23912,0.2937351275766461,-0.0009602709158743034
strict_p12,P12,true,V12,2027,0.29278509706571604,0.3561161263697753,23912,0.292523045696777,-0.0008958315346226365
strict_p12,P12,true,V12,2028,0.2928602986677588,0.35630814164518493,23912,0.2928513453640873,-0.00003057286166938862
release_parity,USHCN,false,APN,2024,0.14733300977686642,0.25486152921233873,368,0.14733300977686642,0
release_parity,USHCN,false,APN,2025,0.15262149792409704,0.24170409193902742,368,0.15262149792409704,0
release_parity,USHCN,false,APN,2026,0.14790244284907955,0.2619438104504851,368,0.14790244284907955,0
release_parity,USHCN,false,APN,2027,0.1739766626509325,0.28734969981735997,368,0.1739766626509325,0
release_parity,USHCN,false,APN,2028,0.17678906393537766,0.2654919651793772,368,0.17678906393537766,0
release_parity,USHCN,false,SLRH,2024,0.1936767616926285,0.27539490263718663,368,0.14733300977686642,-0.3145510431501331
release_parity,USHCN,false,SLRH,2025,0.19712257680680415,0.278435888070975,368,0.15262149792409704,-0.29157805085125515
release_parity,USHCN,false,SLRH,2026,0.18179907252918,0.2677941779247308,368,0.14790244284907955,-0.22918235173903628
release_parity,USHCN,false,SLRH,2027,0.8798075326775456,0.34083215917875664,368,0.1739766626509325,-4.057043394623537
release_parity,USHCN,false,SLRH,2028,0.1892932982204826,0.27102871874520273,368,0.17678906393537766,-0.07072968206718748
release_parity,USHCN,false,CFG,2024,0.16641915372214014,0.2906512907356955,368,0.14733300977686642,-0.12954424791958974
release_parity,USHCN,false,CFG,2025,0.1681066046024217,0.30046116350912716,368,0.15262149792409704,-0.1014608484974104
release_parity,USHCN,false,CFG,2026,0.16739165929444635,0.28840959139652905,368,0.14790244284907955,-0.13177075422110304
release_parity,USHCN,false,CFG,2027,0.2501288163418789,0.3203477254006904,368,0.1739766626509325,-0.4377147631791189
release_parity,USHCN,false,CFG,2028,0.2677866133373124,0.2955408598748007,368,0.17678906393537766,-0.5147238600414639
release_parity,USHCN,false,Full,2024,0.19866423725143303,0.27500449558378337,368,0.14733300977686642,-0.34840276155565525
release_parity,USHCN,false,Full,2025,0.2018419074119706,0.2787809076575998,368,0.15262149792409704,-0.3224998454172705
release_parity,USHCN,false,Full,2026,0.1892723991097936,0.2696412656585618,368,0.14790244284907955,-0.27971110864563725
release_parity,USHCN,false,Full,2027,0.8510471841385976,0.3342152564225177,368,0.1739766626509325,-3.8917318631760525
release_parity,USHCN,false,Full,2028,0.2741224134150134,0.29409701159503404,368,0.17678906393537766,-0.5505620501232722
strict_ushcn,USHCN,true,APN,2024,0.16356605542481975,0.27425219043684396,368,0.16356605542481975,0
strict_ushcn,USHCN,true,APN,2025,0.17153169211403857,0.27048836186852143,368,0.17153169211403857,0
strict_ushcn,USHCN,true,APN,2026,0.1668238433273194,0.2642341763712466,368,0.1668238433273194,0
strict_ushcn,USHCN,true,APN,2027,0.1927870139275735,0.2870930802360501,368,0.1927870139275735,0
strict_ushcn,USHCN,true,APN,2028,0.21222504754697055,0.285386433278251,368,0.21222504754697055,0
strict_ushcn,USHCN,true,SLRH,2024,0.22592606790118186,0.2908969173937373,368,0.16356605542481975,-0.3812527746933702
strict_ushcn,USHCN,true,SLRH,2025,0.24445408991509887,0.2966710526079228,368,0.17153169211403857,-0.42512492532621704
strict_ushcn,USHCN,true,SLRH,2026,0.22479962116797098,0.2848288358509308,368,0.1668238433273194,-0.34752692831143617
strict_ushcn,USHCN,true,SLRH,2027,1.0766874264657778,0.3666400395892671,368,0.1927870139275735,-4.584854521738011
strict_ushcn,USHCN,true,SLRH,2028,0.22901624183808492,0.2860423799949548,368,0.21222504754697055,-0.0791197574706542
strict_ushcn,USHCN,true,CFG,2024,0.18712295032178677,0.30958354961299134,368,0.16356605542481975,-0.14402068226065728
strict_ushcn,USHCN,true,CFG,2025,0.2268092381173635,0.3151215643880752,368,0.17153169211403857,-0.32225850116709065
strict_ushcn,USHCN,true,CFG,2026,0.19145847088126952,0.3111966884832288,368,0.1668238433273194,-0.14766850506863916
strict_ushcn,USHCN,true,CFG,2027,0.24091347440846644,0.33024747330684634,368,0.1927870139275735,-0.24963538518716394
strict_ushcn,USHCN,true,CFG,2028,0.3251732352768571,0.31535572003390966,368,0.21222504754697055,-0.5322095060663768
strict_ushcn,USHCN,true,Full,2024,0.23944066547575057,0.298210248861205,368,0.16356605542481975,-0.463877482732383
strict_ushcn,USHCN,true,Full,2025,0.2858969815183436,0.31129838748711336,368,0.17153169211403857,-0.6667297919982746
strict_ushcn,USHCN,true,Full,2026,0.23371519696681223,0.2908335516384914,368,0.1668238433273194,-0.400969983099164
strict_ushcn,USHCN,true,Full,2027,1.1345324699024353,0.365050318117542,368,0.1927870139275735,-4.884900890309231
strict_ushcn,USHCN,true,Full,2028,0.33275398836659603,0.3104184338982399,368,0.21222504754697055,-0.5679298565969199
strict_ushcn,USHCN,true,V01,2024,0.17000983249896534,0.3017156621360261,368,0.16356605542481975,-0.03939556442447412
strict_ushcn,USHCN,true,V01,2025,0.17825727043123757,0.29605643746744253,368,0.17153169211403857,-0.03920895453376433
strict_ushcn,USHCN,true,V01,2026,0.17188163186586566,0.30220457109902304,368,0.1668238433273194,-0.030318139407821673
strict_ushcn,USHCN,true,V01,2027,0.19171160763456244,0.31319090856516635,368,0.1927870139275735,0.0055782091910769
