"dataset","seed","variant","n","mse","mae","mse_relative_gain_vs_apn","mae_relative_gain_vs_apn"
"beijing_air","2027","SafeNoBalance","406522","0.8823721601110304","0.6093861586157634","-0.0007423386795403316","0.0034188171205335313"
"beijing_air","2027","SafeNoRobust","406522","0.8704873116040769","0.6104103577102324","0.012736861625469371","0.0017438569484997876"
"beijing_air","2027","SafeNoBound","406522","0.8854895920844925","0.6079728217686045","-0.004277973987214048","0.0057301674638827295"
"beijing_air","2027","SafeNoGate","406522","0.8860575546891235","0.6099666580541976","-0.004922128745189888","0.002469476856012718"
"beijing_air","2028","APN","406522","0.91445289041325","0.6276226005613885","0.0","0.0"
"beijing_air","2028","Joint","406522","0.8918742683411058","0.6283716511785999","0.024690853196320067","-0.0011934729828744534"
"beijing_air","2028","Full","406522","0.8918138232622983","0.6282993659275722","0.024756952915005653","-0.0010782998661589265"
"beijing_air","2028","Safe","406522","0.9119914542958188","0.6271388796464173","0.002691703578430112","0.000770719401338483"
"beijing_air","2028","SafeNoBalance","406522","0.9114553589706812","0.6265861987294973","0.0032779506456742068","0.0016513137528256854"
"beijing_air","2028","SafeNoRobust","406522","0.8976025008668639","0.6294497557002224","0.018426744256635482","-0.0029112322233131524"
"beijing_air","2028","SafeNoBound","406522","0.910801402081346","0.6271701891747402","0.0039930852318196975","0.000720833485351934"
"beijing_air","2028","SafeNoGate","406522","0.9119914542958188","0.6271388796464173","0.002691703578430112","0.000770719401338483"
"intel_lab","2024","APN","198333","371.30692811386723","16.99754243697347","0.0","0.0"
"intel_lab","2024","Joint","198333","319.48631218667384","15.43035299626895","0.13956274985340905","0.09220094296076181"
"intel_lab","2024","Full","198333","318.9486437219965","15.744181522835246","0.14101079303269612","0.07373777231536016"
"intel_lab","2024","Safe","198333","371.30692811386723","16.99754243697347","0.0","0.0"
"intel_lab","2024","SafeNoBalance","198333","371.7161675965376","16.990848126029466","-0.0011021595658050496","0.0003938399312032836"
"intel_lab","2024","SafeNoRobust","198333","370.3209210900012","16.960054314593656","0.002655503975847302","0.002205502502424563"
"intel_lab","2024","SafeNoBound","198333","378.7641122643943","17.084459439086626","-0.020083611658978345","-0.0051135040512735154"
"intel_lab","2024","SafeNoGate","198333","370.7607949864198","16.981278119477423","0.0014708401220026597","0.0009568628851113516"
